Main File Name,Sub Query / File Name,Data Purpose,Customer,Data / File Path,Sheet / Table Name,Refresh Frequency,Manual v Auto,Redundant (Y/N/Maybe),In Fabric (Y/N/Maybe),Notes,MCode Audit,MCode Notes
Bailment Upload Updated,VT Invntory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\VT Inventory.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,WV Invnetory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\WV Inventory Uploads.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,NC Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\NC Upload Inventory.xlsx,Data,,,,,,Done,
Bailment Upload Updated,OH Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\OH Inventory Upload.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,MS Invnetory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\MS Inventory Upload.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,IA Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\IA Upload Inventory.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,OR Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\OR Inventory Uploads.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,MT Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\MT Inventory Upload.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,UT Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\UT Inventory.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,ID Inventory Upload,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Bailment State Files\ID Inventory Upload.xlsx,Sheet1,,,,,,Done,
Bailment Upload Updated,VMIBL,Used as a merge within multiple queries in this file,,ODBC Query,None,,,,Probably,,Done,
Bailment Upload Updated,Order Master,Used as a merge within multiple queries in this file,,L:\Bailment\Forecast & Replenishment\Planning Model Template and Master Data Files\On Order & In Transit NEW.xlsx,Order Master,,XLOOKUPS & Pivots,,,,Done,
Bailment Upload Updated,VA In-tran,Used as a merge for the VA Inventory Upload query,,L:\Bailment\Forecast & Replenishment\Virginia\NEW Virginia Replenishment Model.xlsx,VMIORDERS [Table],,PowerQuery,,,,Done,
Bailment Upload Updated,WV In-Tran,Used as a merge for the WV Inventory Upload query,,L:\Bailment\Forecast & Replenishment\West Virginia\WV Replenishment Model 2.0.xlsx,VMIORDERS [Table],,PowerQuery,,,,Done,
Bailment Upload Updated,OR In-Tran,Used as a merge for the OR Inventory Upload query,,L:\Bailment\Forecast & Replenishment\Oregon\Oregon Replenishment - Hybrid.xlsm,Orders [Table],,,,,,Done,
Bailment Upload Updated_VA_InTran_Nest,VMIORDERS [Table],Query output table within Model Excel file used in certain other queries,,ODBC Query,None,,,,Probably,,Done,
Bailment Upload Updated_VA_InTran_Nest,Delivery Appointments,Merged into VMIORDERS query,,L:\Bailment\Forecast & Replenishment\Virginia\VA Delivery Appts 2025_.xlsx,Delivery Appointments,,,,,,Done,Table this query references hasn't been updated in 2026. Surely it can't be integral to the process. 
Bailment Upload Updated_WV_InTran_Nest,VMIORDERS [Table],Query output table within Model Excel file used in certain other queries,,ODBC Query,None,,,,Probably,,Done,
Bailment Upload Updated_OR_InTran_Nest,Orders [Table],Query output table within Model Excel file used in certain other queries,,ODBC Query,None,,,,Probably,,Done,
Bailment Upload Updated_OR_InTran_Nest,SPCLORDLST,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,Yes,,Done,
Bailment Upload Updated_OR_InTran_Nest,SPCLORDITM,,,ODBC Query,None,,,,Probably,,Done,
Bailment Upload Updated,TMS Shipment Report,,,SQL Server: y2tjz7qjmziezabg56725hmy54-q4mgwlaqjz7utifh5zk7jgh2vm.datawarehouse.fabric.microsoft.com,None,,,,Yes,,Done,
Bailment Upload Updated,VMI Customer Table,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Control Table Atlas Upload.xlsx,VMI Customer Table,,,,,,Done,
Atlas VMI_Open Upload File,Append1,Master Append of Sub Queries,All Customers,Sources within File,None,,,,,,Done,
Atlas VMI_Open Upload File,On Order & In Transit Data,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,Yes,Queried from SQL -- could likely be joined with other SQL query,Done,
Atlas VMI_Open Upload File,Encompass Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Encompass Files\Encompass Inventory.xlsx,Daily Inventory All,,,Maybe,,Same file path and sheet as CRD Suprise,Done,Heavy questions and flags. 
Atlas VMI_Open Upload File,Breakthru 852,,,"L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Breakthru Beverage (AZ,MD,DC,FL,SC,IL)\BBG Files\Breakthru_OnHand_20221228T065553_638078073535142467.csv",None,,,,,,Done,
Atlas VMI_Open Upload File,Johnson Brothers,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\JohnsonBrothers-VMI852.csv,None,,,,,,Done,"There IS In-Transit data included here... but the query steps remove it. Is there a reason we do this? 
Would this allow us to replace pulling in the In-Transit data separately? 
How are the .csv files prepared for other customers? 
Are there other files where we are removing In-Transit data, just to pull it manually later? "
Atlas VMI_Open Upload File,KY Eagle,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\KY Eagle (KY)\KY Eagle Files\Current Inventory.xlsx,Inventory Inquiry,,,,,,Done,"Discover whether or not this file is reporting in cases or units. If vastly different from every other process, reach out to them and see if we can alter the data, if justifying downstream impacts. Discuss with Megan. "
Atlas VMI_Open Upload File,LDF,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\OK\LDF OK Replenishment 2023\LDF Files\Sazerac Spirits - On Hand.xlsx,Sheet0,,,,,,Done,"Query says 'Column6' of the table wasn't found -- need to address this logic. This query overall seems to have some very flawed logic, as well as concerns that this data hasn't been passing through as intended at all. "
Atlas VMI_Open Upload File,Faust TX,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\Faust\Faust Files\Sazerac DOI.xlsx,Sheet0,,,,,,Done,
Atlas VMI_Open Upload File,GG TX,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\GG_Giglio\GG_Giglio Files\GG DOS.xlsx,Sheet0,,,,,,Done,
Atlas VMI_Open Upload File,Giglio TX,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\GG_Giglio\GG_Giglio Files\Giglio DOS.xlsx,Sheet0,,,,,,Done,
Atlas VMI_Open Upload File,HDC TX,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\HDC\HDC Files\HDC Inventory 852 Transformed.xlsx,852 Transformed,,PowerQuery,,,,Done,
Atlas VMI_Open Upload File,Reyes,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\Reyes\Reyes Reports\Inventory Book.xlsx,Export,,,,,,Done,
Atlas VMI_Open Upload File,RNDC GA and NM,,,L:\VMI Operations\Sazerac VMI MTD Inventory and Sales Reports (ALL).xlsx,Sazerac VMI MTD Inventory and S,,,,,,Done,Poorly built. Many flags to discuss. 
Atlas VMI_Open Upload File,WA Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Columbia Dist. Replenishment Model\Sazerac Sales and Inventory - WA (All).xlsx,All_WA_Inv,,PowerQuery,Maybe -- Could be duplicative between OR & WA,,,Done,
Atlas VMI_Open Upload File,OR_Inventory_3,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\Columbia_OR_Onhand_Data.csv,OR_Inventory,,PowerQuery,Maybe -- Could be duplicative between OR & WA,,,Done,
Atlas VMI_Open Upload File,Crescent Crown Inventory,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\LA\Crescent Crown Distributing\Sazerac_Inventory_Report_-_ALL_SKUS__.xlsx,Sazerac Inventory Report - ALL,,,,,,Done,
Atlas VMI_Open Upload File,Eagle LA1,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\LA\Eagle Distributing (LA)\Eagle LA - North West Replenishment 2023\Eagle Files\Egl VIP Inv.xlsx,Detail-Depletions-and-Cooperage,,,,,,Done,
Atlas VMI_Open Upload File,LNF_852,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\L&F\L&F Files\LNF_852.csv,None,,,,,"HOLDING on building this pipe, as the customer SFTP data is incorrect, per Megan. ",Done,
Atlas VMI_Open Upload File,Combined SGWS,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\SGWS\Files\852's\Combined 852s.xlsx,Combined,,PowerQuery,,,,Done,
Atlas VMI_Open Upload File,VMIBL,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,Yes,,Done,
